split,timepoint,n,true_negative,false_positive,false_negative,true_positive,n_true_positive_samples,n_predicted_positive_samples,accuracy,precision,recall,f1,trial,split_seed
train,t0,752,466,9,21,256,277,265,0.9601,0.966,0.9242,0.9446,trial01_lr0p001_dropout0p2_ch16-32,73
train,t1,752,452,17,32,251,283,268,0.9348,0.9366,0.8869,0.9111,trial01_lr0p001_dropout0p2_ch16-32,73
train,t2,752,451,15,21,265,286,280,0.9521,0.9464,0.9266,0.9364,trial01_lr0p001_dropout0p2_ch16-32,73
train,t3,752,459,11,21,261,282,272,0.9574,0.9596,0.9255,0.9422,trial01_lr0p001_dropout0p2_ch16-32,73
val,t0,96,93,3,0,0,0,3,0.9688,0.0,0.0,0.0,trial01_lr0p001_dropout0p2_ch16-32,73
val,t1,96,48,0,6,42,48,42,0.9375,1.0,0.875,0.9333,trial01_lr0p001_dropout0p2_ch16-32,73
val,t2,96,47,1,12,36,48,37,0.8646,0.973,0.75,0.8471,trial01_lr0p001_dropout0p2_ch16-32,73
val,t3,96,47,1,6,42,48,43,0.9271,0.9767,0.875,0.9231,trial01_lr0p001_dropout0p2_ch16-32,73
test,t0,96,93,3,0,0,0,3,0.9688,0.0,0.0,0.0,trial01_lr0p001_dropout0p2_ch16-32,73
test,t1,96,48,0,2,46,48,46,0.9792,1.0,0.9583,0.9787,trial01_lr0p001_dropout0p2_ch16-32,73
test,t2,96,48,0,4,44,48,44,0.9583,1.0,0.9167,0.9565,trial01_lr0p001_dropout0p2_ch16-32,73
test,t3,96,48,0,0,48,48,48,1.0,1.0,1.0,1.0,trial01_lr0p001_dropout0p2_ch16-32,73
