split,timepoint,n,true_negative,false_positive,false_negative,true_positive,n_true_positive_samples,n_predicted_positive_samples,accuracy,precision,recall,f1
train,t0,752,741,11,0,0,0,11,0.9854,0.0,0.0,0.0
train,t1,752,371,5,28,348,376,353,0.9561,0.9858,0.9255,0.9547
train,t2,752,371,5,21,355,376,360,0.9654,0.9861,0.9441,0.9647
train,t3,752,371,5,5,371,376,376,0.9867,0.9867,0.9867,0.9867
val,t0,96,96,0,0,0,0,0,1.0,0.0,0.0,0.0
val,t1,96,46,2,10,38,48,40,0.875,0.95,0.7917,0.8636
val,t2,96,48,0,11,37,48,37,0.8854,1.0,0.7708,0.8706
val,t3,96,47,1,4,44,48,45,0.9479,0.9778,0.9167,0.9462
test,t0,96,91,5,0,0,0,5,0.9479,0.0,0.0,0.0
test,t1,96,47,1,4,44,48,45,0.9479,0.9778,0.9167,0.9462
test,t2,96,47,1,5,43,48,44,0.9375,0.9773,0.8958,0.9348
test,t3,96,48,0,3,45,48,45,0.9688,1.0,0.9375,0.9677
